Time,Temperature,Pressure1,Sound,Light,Pressure2,Humidity,Comment
, C, kPa, dBA, lx, kPa, %RH,
5.59,30.8,98.6,72.4,54,97.93,48.8,
6.01,30.9,98.6,69.5,67,97.93,48.8,
6.03,31,98.8,50.7,69,97.96,48.8,
6.05,31.2,98.8,68.9,66,97.96,48.7,
6.07,31.3,98.6,68.9,60,97.94,48.6,
6.09,31.4,98.8,65.2,68,97.93,48.4,
6.11,31.4,98.8,67,71,97.97,48.3,
6.12,31.4,98.8,78.4,67,97.96,48.2,
6.14,31.3,98.8,77.8,63,97.94,48.2,
6.16,31.3,99,41.4,67,97.96,48.2,
6.18,31.3,99,80.8,64,97.96,48.3,
6.2,31.3,99,40,66,97.97,48.3,
6.22,31.2,99,75.8,67,97.93,48.4,
6.24,31.2,99,40,67,97.94,48.5,
6.26,31.2,99.2,63.4,66,97.94,48.5,
6.28,31.2,99,40,62,97.94,48.5,
6.3,31.3,99,65.5,63,97.96,48.5,
6.32,31.3,99.2,65.3,64,97.92,48.6,
6.34,31.3,99.2,67.6,68,97.95,48.6,
6.36,31.3,99.2,78.6,63,97.91,48.6,
6.37,31.4,99.2,70.6,71,97.93,48.6,
6.39,31.4,99.3,61.5,71,97.96,48.6,
6.41,31.6,99.3,40,71,97.94,48.6,
6.43,31.6,99.3,69.7,71,97.92,48.6,
6.45,31.7,99.2,63.4,38,97.95,48.6,
6.47,31.8,99.3,78,11,97.94,48.6,
6.49,31.9,99.3,67.4,22,97.94,48.6,
6.51,32,99.3,66.3,4,97.94,48.5,
6.53,32,99.3,41.9,4,97.94,48.3,
6.55,32.1,99.3,65,4,97.94,48.1,
6.57,32.1,99.3,40,7,97.92,48.1,
6.59,32.2,99.3,40,4,97.94,48.1,
7,32.3,99.3,40,3,97.93,48.1,
7.02,32.4,99.3,40,3,97.95,48.1,
7.04,32.4,99.3,43.7,3,97.95,48.1,
7.06,32.4,99.5,40,66,97.96,48,
7.08,32.3,99.5,58.9,70,97.96,47.9,
7.1,32.3,99.5,75.1,71,97.93,47.9,
7.12,32.3,99.5,45.2,71,97.95,47.9,
7.14,32.2,99.5,76.2,70,97.94,47.8,
7.16,32.2,99.5,59.2,71,97.94,47.8,
7.18,32.1,99.5,61.2,69,97.94,47.8,
7.2,32,99.5,74.4,185,97.96,47.9,
7.22,32,99.5,70.7,328,97.93,48,
7.24,32,99.5,73.7,307,97.93,48.1,
7.25,32,99.5,66,301,97.93,48.2,
7.27,31.9,99.7,40,299,97.94,48.3,
7.29,31.8,99.7,40,303,97.93,48.4,
7.31,31.9,99.7,52.9,296,97.97,48.4,
7.33,31.9,99.7,60.3,316,97.94,48.5,
7.35,32,99.7,64.9,291,97.94,48.5,
7.37,32,99.9,77.3,296,97.92,48.5,
7.39,32.1,99.9,62.3,300,97.97,48.5,
7.41,32.2,99.9,59.1,298,97.95,48.6,
7.43,32.2,99.9,61.4,299,97.96,48.6,
7.45,32.2,99.9,40,297,97.96,48.6,
7.47,32.3,99.9,67.5,289,97.96,48.6,
7.48,32.3,99.9,41.1,291,97.91,48.6,
7.5,32.3,100.1,53.7,287,97.96,48.6,
7.52,32.4,99.9,70.6,271,97.95,48.6,
7.54,32.4,100.1,57.8,307,97.93,48.6,
7.56,32.4,100.1,73.7,307,97.92,48.7,
7.58,32.4,100.1,73.3,300,97.95,48.7,
8,32.4,100.1,40,299,97.9,48.7,
8.02,32.6,100.1,70.9,299,97.99,48.7,
8.04,32,100.1,40,296,97.94,48.7,
8.06,32.3,100.3,57.5,295,97.95,48.7,
8.08,32.3,100.1,58.5,207,97.92,48.7,
8.1,32.1,100.3,40,62,97.95,48.7,
8.12,32.6,100.3,40,61,97.94,48.6,
8.13,32.4,100.3,69,60,97.94,48.6,
8.15,32.3,100.5,73.8,58,97.95,48.5,
8.17,32.3,100.3,75.8,67,97.93,48.5,
8.19,32.1,100.5,69.8,68,97.93,48.6,
8.21,32.2,100.7,72.9,68,97.92,48.6,
8.23,31.9,100.9,66.8,68,97.94,48.6,
8.25,31.7,100.7,67.4,68,97.94,48.6,
8.27,31.2,100.9,67.2,69,97.96,48.6,
8.29,30.5,100.9,44.9,69,97.93,48.6,
8.31,30.2,100.7,58.7,69,97.94,48.6,
8.33,29.5,100.9,40,68,97.92,48.5,
8.35,29.2,100.7,40,68,97.93,48.3,
8.36,29.7,100.7,40,68,97.97,48.2,
8.38,29.9,100.5,40,68,97.95,48.3,
8.4,29.7,100.7,40,67,97.95,48.3,
8.42,30.2,100.7,40,68,97.95,48.4,
8.44,30.3,100.7,40,67,97.92,48.5,
8.46,31,100.9,40,67,97.93,48.5,
8.48,30.9,100.7,69.8,68,97.96,48.4,
8.5,30.9,100.9,40,68,97.95,48,
8.52,31.3,100.9,67.9,68,97.93,48,
8.54,31.6,100.9,40,68,97.94,48,
8.56,31.6,100.9,40,68,97.94,47.9,
8.58,31.7,100.9,40,68,97.93,47.8,
0.375,31.8,100.9,40,68,97.96,47.8,
9.01,32.1,100.9,40,68,97.93,47.6,
9.03,32.4,100.9,40,68,97.93,47.5,
9.05,32.2,100.9,40,68,97.95,47.4,
9.07,32.4,100.9,40,68,97.95,47.5,
9.09,32.6,100.9,40,68,97.94,47.6,
9.11,32.5,101.1,40,68,97.94,47.6,
